time_stamp,lat,lon,alt
2026-05-28T02:52:15.559,24.9428989,121.3706912,-0.384
2026-05-28T02:52:16.549,24.9428998,121.3706916,-0.169
2026-05-28T02:52:17.561,24.9429018,121.3706934,-0.022
2026-05-28T02:52:18.554,24.9429028,121.3706945,0.039
2026-05-28T02:52:19.558,24.9429035,121.3706946,-0.401
2026-05-28T02:52:20.560,24.9429059,121.3706972,-0.361
2026-05-28T02:52:21.556,24.942906,121.3706953,-0.163
2026-05-28T02:52:22.557,24.9429079,121.370696,-0.135
2026-05-28T02:52:23.557,24.9429088,121.370695,-0.028
2026-05-28T02:52:24.560,24.9429109,121.3706959,-0.011
2026-05-28T02:52:25.553,24.9429122,121.3706961,-0.412
2026-05-28T02:52:26.557,24.9429136,121.3706968,-0.389
2026-05-28T02:52:27.554,24.9429153,121.3706991,-0.203
2026-05-28T02:52:28.559,24.9429187,121.370704,-0.22
2026-05-28T02:52:29.562,24.9429193,121.3707021,-0.158
2026-05-28T02:52:30.562,24.9429213,121.3707038,0.016
2026-05-28T02:52:31.561,24.9429229,121.370706,0.127
2026-05-28T02:52:32.563,24.9429251,121.3707087,-0.039
2026-05-28T02:52:33.562,24.9429257,121.3707077,-0.09
2026-05-28T02:52:34.549,24.9429275,121.3707106,-0.118
2026-05-28T02:52:35.551,24.9429276,121.3707096,-0.265
2026-05-28T02:52:36.569,24.9429298,121.3707123,-0.056
2026-05-28T02:52:37.560,24.9429314,121.3707135,-0.09
2026-05-28T02:52:38.552,24.9429317,121.3707119,0.039
2026-05-28T02:52:39.557,24.942933,121.3707127,0.093
2026-05-28T02:52:40.560,24.9429345,121.3707135,0.064
2026-05-28T02:52:41.555,24.9429346,121.3707122,-0.09
2026-05-28T02:52:42.549,24.9429359,121.370713,-0.163
2026-05-28T02:52:43.564,24.9429365,121.3707124,-0.113
2026-05-28T02:52:44.551,24.9429376,121.3707124,-0.282
2026-05-28T02:52:45.563,24.9429379,121.3707111,-0.226
2026-05-28T02:52:46.565,24.9429386,121.3707111,0.087
2026-05-28T02:52:47.564,24.9429391,121.3707107,-0.107
2026-05-28T02:52:48.560,24.9429391,121.3707104,-0.322
2026-05-28T02:52:49.560,24.9429393,121.3707099,-0.146
2026-05-28T02:52:50.554,24.9429387,121.3707083,-0.265
2026-05-28T02:52:51.559,24.9429387,121.3707084,-0.113
2026-05-28T02:52:52.568,24.9429381,121.3707062,-0.237
2026-05-28T02:52:53.547,24.9429384,121.3707054,-0.056
2026-05-28T02:52:54.554,24.9429365,121.3707016,-0.016
2026-05-28T02:52:55.560,24.9429372,121.3707022,0.002
2026-05-28T02:52:56.568,24.9429374,121.370702,0.07
2026-05-28T02:52:57.554,24.9429374,121.3707012,-0.124
2026-05-28T02:52:58.569,24.9429378,121.370702,-0.101
2026-05-28T02:52:59.553,24.9429381,121.3707015,-0.124
2026-05-28T02:53:00.551,24.9429393,121.3707027,-0.022
2026-05-28T02:53:01.562,24.9429407,121.3707036,-0.124
2026-05-28T02:53:02.565,24.9429414,121.3707042,-0.31
2026-05-28T02:53:03.563,24.9429423,121.370705,-0.378
2026-05-28T02:53:04.544,24.9429413,121.3707015,-0.056
2026-05-28T02:53:05.561,24.9429412,121.3707007,-0.18
2026-05-28T02:53:06.579,24.9429414,121.3706994,-0.039
2026-05-28T02:53:07.551,24.9429417,121.3706978,-0.18
2026-05-28T02:53:08.557,24.9429432,121.3706982,0.002
2026-05-28T02:53:09.548,24.9429449,121.3706992,-0.09
2026-05-28T02:53:10.541,24.9429459,121.3706996,-0.259
2026-05-28T02:53:11.554,24.9429465,121.3706989,-0.163
2026-05-28T02:53:12.557,24.9429474,121.3706992,-0.361
2026-05-28T02:53:13.569,24.9429474,121.370698,-0.107
2026-05-28T02:53:14.551,24.9429478,121.3706976,-0.276
2026-05-28T02:53:15.552,24.9429486,121.3706972,-0.282
2026-05-28T02:53:16.548,24.9429495,121.3706989,-0.226
2026-05-28T02:53:17.554,24.9429493,121.3706988,-0.327
2026-05-28T02:53:18.555,24.94295,121.3706972,-0.327
2026-05-28T02:53:19.557,24.9429503,121.3706964,0.05
2026-05-28T02:53:20.552,24.9429511,121.3706983,-0.09
2026-05-28T02:53:21.554,24.9429506,121.3706972,-0.135
2026-05-28T02:53:22.559,24.9429539,121.3707021,-0.18
2026-05-28T02:53:23.557,24.9429554,121.3707044,-0.276
2026-05-28T02:53:24.566,24.9429559,121.3707051,-0.067
2026-05-28T02:53:25.558,24.9429557,121.3707044,-0.316
2026-05-28T02:53:26.548,24.9429543,121.3707026,-0.226
2026-05-28T02:53:27.560,24.9429549,121.3707033,-0.045
2026-05-28T02:53:28.558,24.9429557,121.3707039,-0.248
2026-05-28T02:53:29.566,24.9429564,121.3707061,-0.158
2026-05-28T02:53:30.562,24.9429574,121.370707,0.059
2026-05-28T02:53:31.556,24.9429581,121.370709,-0.209
2026-05-28T02:53:32.560,24.9429587,121.3707107,-0.107
2026-05-28T02:53:33.566,24.9429604,121.3707148,-0.067
2026-05-28T02:53:34.547,24.9429614,121.370717,0.104
2026-05-28T02:53:35.560,24.9429618,121.370719,-0.135
2026-05-28T02:53:36.564,24.9429617,121.3707205,-0.231
2026-05-28T02:53:37.558,24.9429617,121.3707225,0.268
2026-05-28T02:53:38.578,24.9429622,121.3707246,-0.22
2026-05-28T02:53:39.546,24.9429615,121.3707239,-0.158
2026-05-28T02:53:40.558,24.942962,121.3707253,-0.254
2026-05-28T02:53:41.564,24.9429627,121.3707254,-0.129
2026-05-28T02:53:42.547,24.9429619,121.3707243,-0.293
2026-05-28T02:53:43.551,24.9429622,121.3707251,-0.118
2026-05-28T02:53:44.545,24.9429625,121.3707275,-0.237
2026-05-28T02:53:45.546,24.9429614,121.370725,-0.288
2026-05-28T02:53:46.558,24.9429611,121.3707221,-0.389
2026-05-28T02:53:47.559,24.9429607,121.3707213,-0.033
2026-05-28T02:53:48.558,24.9429591,121.3707181,0.098
2026-05-28T02:53:49.561,24.94296,121.3707167,-0.209
2026-05-28T02:53:50.552,24.9429599,121.3707141,-0.293
2026-05-28T02:53:51.558,24.9429597,121.3707159,0.096
2026-05-28T02:53:52.558,24.9429605,121.3707151,-0.197
2026-05-28T02:53:53.550,24.9429615,121.3707169,-0.299
2026-05-28T02:53:54.545,24.9429627,121.3707204,-0.395
2026-05-28T02:53:55.561,24.9429636,121.3707224,-0.316
2026-05-28T02:53:56.554,24.9429644,121.3707252,-0.356
2026-05-28T02:53:57.591,24.9429647,121.3707264,-0.384
2026-05-28T02:53:58.565,24.9429654,121.3707294,-0.175
2026-05-28T02:53:59.561,24.9429652,121.3707305,-0.163
2026-05-28T02:54:00.565,24.9429656,121.3707321,-0.152
2026-05-28T02:54:01.545,24.9429659,121.3707339,-0.09
2026-05-28T02:54:02.554,24.9429658,121.3707349,-0.226
2026-05-28T02:54:03.558,24.9429649,121.3707337,-0.033
2026-05-28T02:54:04.549,24.942965,121.3707368,-0.457
2026-05-28T02:54:05.558,24.9429646,121.3707354,-0.096
2026-05-28T02:54:06.559,24.9429657,121.3707365,-0.056
2026-05-28T02:54:07.563,24.9429655,121.370737,-0.197
2026-05-28T02:54:08.558,24.9429647,121.3707344,-0.322
2026-05-28T02:54:09.543,24.9429639,121.3707343,-0.322
2026-05-28T02:54:10.564,24.942963,121.370736,-0.152
2026-05-28T02:54:11.555,24.942963,121.370736,-0.599
2026-05-28T02:54:12.549,24.9429647,121.3707416,0.011
2026-05-28T02:54:13.558,24.9429653,121.370745,-0.276
2026-05-28T02:54:14.552,24.9429649,121.3707465,-0.124
2026-05-28T02:54:15.559,24.9429651,121.37075,-0.435
2026-05-28T02:54:16.566,24.9429642,121.3707483,-0.226
2026-05-28T02:54:17.548,24.9429642,121.370748,-0.192
2026-05-28T02:54:18.561,24.9429643,121.3707486,-0.231
2026-05-28T02:54:19.552,24.9429649,121.3707485,0.0
2026-05-28T02:54:20.546,24.942966,121.3707519,-0.31
2026-05-28T02:54:21.561,24.9429677,121.3707568,-0.186
2026-05-28T02:54:22.555,24.9429694,121.3707623,-0.129
2026-05-28T02:54:23.554,24.9429686,121.3707625,-0.254
2026-05-28T02:54:24.556,24.9429682,121.3707651,-0.152
2026-05-28T02:54:25.552,24.9429704,121.3708016,-0.35
2026-05-28T02:54:26.552,24.9429728,121.3708344,-0.293
2026-05-28T02:54:27.560,24.9429767,121.3708655,0.036
2026-05-28T02:54:28.553,24.9429794,121.3708942,0.0
2026-05-28T02:54:29.553,24.9429806,121.3709125,-0.079
2026-05-28T02:54:30.552,24.9429807,121.3709272,-0.175
2026-05-28T02:54:31.551,24.9429825,121.3709425,-0.067
2026-05-28T02:54:32.549,24.9429839,121.3709566,-0.209
2026-05-28T02:54:33.560,24.9429846,121.3709702,0.093
2026-05-28T02:54:34.555,24.9429865,121.3709855,-0.299
2026-05-28T02:54:35.558,24.942987,121.3709955,0.067
2026-05-28T02:54:36.557,24.9429866,121.3710041,-0.214
2026-05-28T02:54:37.556,24.9429854,121.3710116,-0.175
2026-05-28T02:54:38.566,24.9429846,121.3710173,-0.129
2026-05-28T02:54:39.553,24.9429843,121.3710248,-0.056
2026-05-28T02:54:40.567,24.9429851,121.3710328,-0.05
2026-05-28T02:54:41.553,24.9429857,121.3710395,-0.079
2026-05-28T02:54:42.559,24.9429867,121.3710462,-0.056
2026-05-28T02:54:43.555,24.9429859,121.3710507,-0.062
2026-05-28T02:54:44.551,24.9429855,121.3710542,-0.169
2026-05-28T02:54:45.554,24.9429845,121.3710588,-0.056
2026-05-28T02:54:46.563,24.9429838,121.3710605,-0.135
2026-05-28T02:54:47.559,24.9429824,121.3710594,0.005
2026-05-28T02:54:48.560,24.9429819,121.3710614,-0.062
2026-05-28T02:54:49.555,24.942981,121.3710612,-0.163
2026-05-28T02:54:50.552,24.9429802,121.3710595,-0.016
2026-05-28T02:54:51.548,24.9429806,121.3710598,-0.152
2026-05-28T02:54:52.548,24.9429803,121.3710596,-0.016
2026-05-28T02:54:53.572,24.9429813,121.371062,-0.09
2026-05-28T02:54:54.557,24.9429825,121.3710655,-0.124
2026-05-28T02:54:55.549,24.9429833,121.3710662,0.022
2026-05-28T02:54:56.549,24.9429844,121.3710708,0.011
2026-05-28T02:54:57.546,24.9429856,121.3710755,-0.316
2026-05-28T02:54:58.560,24.9429865,121.3710815,0.07
2026-05-28T02:54:59.554,24.9429869,121.3710852,0.138
2026-05-28T02:55:00.555,24.9429882,121.3710919,-0.09
2026-05-28T02:55:01.557,24.9429887,121.371098,-0.062
2026-05-28T02:55:02.547,24.9429899,121.3711035,0.031
2026-05-28T02:55:03.545,24.9429924,121.3711116,-0.011
2026-05-28T02:55:04.551,24.9429934,121.3711162,0.146
2026-05-28T02:55:05.549,24.9429931,121.3711193,-0.084
2026-05-28T02:55:06.552,24.942994,121.3711236,0.149
2026-05-28T02:55:07.552,24.9429922,121.371125,-0.293
2026-05-28T02:55:08.554,24.9429929,121.3711308,0.016
2026-05-28T02:55:09.545,24.9429925,121.371132,-0.079
2026-05-28T02:55:10.553,24.9429922,121.3711343,0.036
2026-05-28T02:55:11.553,24.9429927,121.3711376,0.045
2026-05-28T02:55:12.560,24.9429925,121.3711365,-0.005
2026-05-28T02:55:13.543,24.9429922,121.3711367,0.079
2026-05-28T02:55:14.548,24.9429919,121.3711381,0.093
2026-05-28T02:55:15.551,24.9429898,121.3711362,0.064
2026-05-28T02:55:16.550,24.9429904,121.3711376,0.036
2026-05-28T02:55:17.557,24.9429901,121.3711398,-0.096
2026-05-28T02:55:18.565,24.9429917,121.3711441,-0.084
2026-05-28T02:55:19.557,24.9429939,121.3711507,-0.248
2026-05-28T02:55:20.552,24.9429962,121.3711556,0.011
2026-05-28T02:55:21.553,24.9429984,121.3711599,0.152
2026-05-28T02:55:22.558,24.9430014,121.3711653,0.149
2026-05-28T02:55:23.568,24.9430039,121.3711701,0.056
2026-05-28T02:55:24.544,24.9430061,121.3711745,0.079
2026-05-28T02:55:25.544,24.9430064,121.3711759,-0.163
2026-05-28T02:55:26.552,24.9430067,121.3711784,0.231
2026-05-28T02:55:27.547,24.943005,121.3711793,-0.011
2026-05-28T02:55:28.545,24.9430034,121.3711775,-0.214
2026-05-28T02:55:29.542,24.9430025,121.3711787,-0.141
2026-05-28T02:55:30.543,24.9430028,121.3711815,0.127
2026-05-28T02:55:31.544,24.9430025,121.371183,0.005
2026-05-28T02:55:32.549,24.9430035,121.3711877,-0.016
2026-05-28T02:55:33.563,24.9430032,121.3711886,0.146
2026-05-28T02:55:34.559,24.943004,121.3711925,0.005
2026-05-28T02:55:35.555,24.9430049,121.3711961,0.048
2026-05-28T02:55:36.541,24.9430082,121.371202,0.005
2026-05-28T02:55:37.543,24.9430106,121.3712064,0.039
2026-05-28T02:55:38.549,24.943012,121.3712078,-0.079
2026-05-28T02:55:39.548,24.9430158,121.3712147,0.016
2026-05-28T02:55:40.543,24.9430176,121.3712164,0.217
2026-05-28T02:55:41.557,24.9430194,121.3712199,0.197
2026-05-28T02:55:42.549,24.9430233,121.3712245,-0.079
2026-05-28T02:55:43.552,24.9430271,121.3712286,0.113
2026-05-28T02:55:44.552,24.9430295,121.3712317,-0.163
